Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,ivan,13883.508060063668,13959.786216829958,3159.8,-183.838,-179.97,
LIFFT,facu,13937.448313026258,14131.871525377639,3124.1,-185.504,-181.842,
LIFFT,lucas,13860.48498200851,13952.241095405572,3164.7,-183.585,-179.745,
LIFFT,fran,13915.69731346534,14057.642382128286,3139.3,-184.798,-181.045,
LIFFT,ivan,13883.508060063668,13959.786216829958,3159.8,-183.838,-179.97,
LIFFT,facu,13937.448313026258,14131.871525377639,3124.1,-185.504,-181.842,
LIFFT,lucas,13860.48498200851,13952.241095405572,3164.7,-183.585,-179.745,
LIFFT,fran,13915.69731346534,14057.642382128286,3139.3,-184.798,-181.045,
LIFFT,ivan,13883.508060063668,13959.786216829958,3159.8,-183.838,-179.97,
LIFFT,facu,13937.448313026258,14131.871525377639,3124.1,-185.504,-181.842,
LIFFT,lucas,13860.48498200851,13952.241095405572,3164.7,-183.585,-179.745,
LIFFT,fran,13915.69731346534,14057.642382128286,3139.3,-184.798,-181.045,
LIFFT,ivan,13883.508060063668,13959.786216829958,3159.8,-183.838,-179.97,
LIFFT,facu,13984.94445803802,14116.247306708483,3118.9,-185.808,-182.037,
LIFFT,lucas,13875.911747800668,13999.801739820823,3154.8,-184.05,-180.265,
LIFFT,fran,13940.846678265036,14014.427691915676,3142.1,-184.716,-180.844,
LIFFT,ivan,13933.438996489018,13957.159129528847,3152.3,-184.254,-180.295,
LIFFT,facu,13984.94445803802,14116.247306708483,3118.9,-185.808,-182.037,
LIFFT,lucas,13875.911747800668,13999.801739820823,3154.8,-184.05,-180.265,
LIFFT,fran,13940.846678265036,14014.427691915676,3142.1,-184.716,-180.844,
LIFFT,ivan,13933.438996489018,13957.159129528847,3152.3,-184.254,-180.295,
LIFFT,facu,13984.94445803802,14116.247306708483,3118.9,-185.808,-182.037,
LIFFT,lucas,13875.911747800668,13999.801739820823,3154.8,-184.05,-180.265,
LIFFT,fran,13940.846678265036,14014.427691915676,3142.1,-184.716,-180.844,
LIFFT,ivan,13933.438996489018,13957.159129528847,3152.3,-184.254,-180.295,
LIFFT,facu,13984.94445803802,14116.247306708483,3118.9,-185.808,-182.037,
LIFFT,lucas,13875.911747800668,13999.801739820823,3154.8,-184.05,-180.265,
LIFFT,fran,13940.846678265036,14014.427691915676,3142.1,-184.716,-180.844,
LIFFT,ivan,13933.438996489018,13957.159129528847,3152.3,-184.254,-180.295,
LIFFT,facu,13984.94445803802,14116.247306708483,3118.9,-185.808,-182.037,
LIFFT,lucas,13875.911747800668,13999.801739820823,3154.8,-184.05,-180.265,
LIFFT,fran,13940.846678265036,14014.427691915676,3142.1,-184.716,-180.844,
LIFFT,ivan,13933.438996489018,13957.159129528847,3152.3,-184.254,-180.295,
LIFFT,facu,14030.111628487632,14137.693208731382,3108.2,-186.35,-182.537,
LIFFT,lucas,13865.615658041044,13950.873317245987,3164.1,-183.62,-179.768,
LIFFT,fran,13989.102090795102,14001.335130609612,3136.4,-185.045,-181.066,
LIFFT,ivan,13897.560731046497,13922.33456824179,3163.5,-183.699,-179.742,
LIFFT,facu,14030.111628487632,14137.693208731382,3108.2,-186.35,-182.537,
LIFFT,lucas,13865.615658041044,13950.873317245987,3164.1,-183.62,-179.768,
LIFFT,fran,13989.102090795102,14001.335130609612,3136.4,-185.045,-181.066,
LIFFT,ivan,13897.560731046497,13922.33456824179,3163.5,-183.699,-179.742,
LIFFT,facu,14030.111628487632,14137.693208731382,3108.2,-186.35,-182.537,
LIFFT,lucas,13865.615658041044,13950.873317245987,3164.1,-183.62,-179.768,
LIFFT,fran,13989.102090795102,14001.335130609612,3136.4,-185.045,-181.066,
LIFFT,ivan,13897.560731046497,13922.33456824179,3163.5,-183.699,-179.742,
LIFFT,facu,14030.111628487632,14137.693208731382,3108.2,-186.35,-182.537,
LIFFT,lucas,13865.615658041044,13950.873317245987,3164.1,-183.62,-179.768,
LIFFT,fran,13989.102090795102,14001.335130609612,3136.4,-185.045,-181.066,
LIFFT,ivan,13897.560731046497,13922.33456824179,3163.5,-183.699,-179.742,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
LIFFT,ivan,13854.65509063169,13948.007628452744,3166.3,-183.505,-179.667,
LIFFT,facu,14075.466219471386,14158.739849239937,3097.5,-186.891,-183.036,
LIFFT,lucas,13914.202036908662,13939.068073134482,3158.2,-183.96,-180.004,
LIFFT,fran,13999.39670563439,14050.263863531187,3127.0,-185.475,-181.563,
