EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13537.5, 14801.07349850061, 3082.134961971097
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12814.411222219125, 14684.5, 3215.717943241343
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15221.0, 14000.0, 2932.65020415879
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13134.840621619369, 14499.5, 3194.290172803966
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14240.5, 13583.441780779656, 3161.471667355295
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15480.0, 2893.458601134216
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13204.5, 12622.153582578925, 3463.725776293642
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 15025.374078080753, 14592.0, 2867.5643154198997
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14950.0, 14000.0, 2978.5009451795836
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 15020.17792565806, 14589.0, 2868.9640236232126
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14722.0, 15250.540683064763, 2808.3060663381684
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15216.0, 2937.7307523629484
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13525.0, 14822.72413359522, 3080.6827332172234
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12782.368282279102, 14703.0, 3217.8432313672906
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15254.0, 14000.0, 2927.028975425331
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13111.45793571719, 14513.0, 3195.8645762704173
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14247.0, 13572.183450530458, 3162.1837979253364
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15520.0, 2886.70472589792
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13183.0, 12584.914490216193, 3472.164712889239
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 15053.086891001854, 14608.0, 2860.091422508788
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 15000.0, 14000.0, 2970.0831758034024
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 15073.871500692694, 14620.0, 2854.4781511221845
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14760.0, 15316.358613752382, 2790.3803708005776
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13500.0, 14866.025403784442, 3077.773920610086
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12718.282402399054, 14740.0, 3222.0842682094813
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15320.0, 14000.0, 2915.7618147448015
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13064.692563912831, 14540.0, 3199.0083034153913
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14260.0, 13549.66679003206, 3163.6068814465443
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15600.0, 2873.1606805293004
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13140.0, 12510.43630549073, 3488.97158362802
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 15108.512516844057, 14640.0, 2845.106314614487
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 15025.0, 14000.0, 2965.867202268431
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 15100.718288210011, 14635.5, 2847.2167634501548
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14779.0, 15349.267579096191, 2781.3897978989307
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15312.0, 2921.692763705104
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13487.5, 14887.676038879054, 3076.3173367568224
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12686.23946245903, 14758.5, 3224.2000169257253
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15353.0, 14000.0, 2910.1158827977315
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13041.309878010652, 14553.5, 3200.577627093914
